"","text","favorite_count","retweet_count"
"319","796447",22,1
"320","796409",21,2
"321","796391",14,0
"322","796387",23,2
"323","796379",13,2
"324","796373",16,1
"325","796363",15,1
"326","796361",21,2
"327","796339",16,1
"328","796337",19,0
"329","796307",27,0
"330","796303",24,1
"331","796291",33,1
"332","796267",19,1
"333","796259",18,0
"334","796247",20,2
"335","796217",14,0
"336","796193",12,0
"337","796189",30,1
"338","796181",15,0
"339","796177",12,0
"340","796171",16,0
"341","796151",21,0
"342","796141",20,1
"343","796139",15,1
"344","796121",11,2
"345","796091",25,1
"346","796067",17,1
"347","796063",22,1
"348","796009",31,2
"349","796001",34,2
"350","795997",31,5
"351","795983",16,1
"352","795979",41,7
"353","795947",24,1
"354","795943",21,0
"355","795941",14,2
"356","795937",18,4
"357","795931",11,1
"358","795917",20,3
"359","795913",28,2
"360","795877",18,0
"361","795871",19,2
"362","795829",16,0
"363","795827",16,0
"364","795803",12,0
"365","795799",18,2
"366","795797",24,3
"367","795793",29,3
"368","795791",16,1
"369","795763",15,0
"370","795761",21,1
"371","795737",16,4
"372","795727",13,0
"373","795713",13,1
"374","795709",23,1
"375","795703",18,2
"376","795679",19,2
"377","795667",33,1
"378","795661",20,0
"379","795659",22,3
"380","795653",17,0
"381","795649",15,0
"382","795647",14,1
"383","795643",17,1
"384","795601",27,2
"385","795589",22,1
"386","795581",20,1
"387","795551",25,1
"388","795539",22,1
"389","795533",16,1
"390","795527",12,0
"391","795517",18,0
"392","795503",18,1
"393","795493",21,1
"394","795479",19,0
"395","795467",19,1
"396","795461",15,0
"397","795449",26,0
"398","795427",18,0
"399","795349",19,1
"400","795343",16,0
"401","795337",15,0
"402","795329",19,1
"403","795323",16,1
"404","795307",23,0
"405","795299",31,0
"406","795253",22,1
"407","795251",16,0
"408","795239",29,1
"409","795233",16,0
"410","795217",15,1
"411","795211",16,0
"412","795203",16,0
"413","795187",17,0
"414","795161",15,0
"415","795149",16,0
"416","795139",15,2
"417","795127",12,0
"418","795121",17,1
"419","795103",17,2
"420","795101",19,1
"421","795097",19,2
"422","795083",23,1
"423","795079",22,1
"424","795077",22,1
"425","795071",20,0
"426","795023",19,0
"427","795007",29,1
"428","795001",36,1
"429","794999",73,10
"430","794993",17,2
"431","794957",19,0
"432","794953",17,1
"433","794923",22,3
"434","794921",23,2
"435","794887",25,1
"436","794881",14,1
"437","794879",21,1
"438","794831",21,1
"439","794779",18,1
"440","794749",38,5
"441","794743",33,3
"442","794741",23,3
"443","794711",21,3
"444","794693",19,0
"445","794669",21,2
"446","794659",24,1
"447","794657",23,1
"448","794653",19,0
"449","794641",19,0
"450","794593",20,0
"451","794587",33,1
"452","794579",22,0
"453","794569",34,3
"454","794557",23,2
"455","794551",24,0
"456","794543",21,0
"457","794537",24,1
"458","794531",14,1
"459","794509",15,0
"460","794491",15,3
"461","794483",17,2
"462","794477",28,3
"463","794473",19,2
"464","794471",15,2
"465","794449",48,6
"466","794413",25,1
"467","794407",24,1
"468","794399",37,1
"469","794389",24,1
"470","794383",23,0
"471","794363",22,2
"472","794341",12,0
"473","794327",13,0
"474","794249",14,0
"475","794239",20,0
"476","794231",24,0
"477","794221",24,1
"478","794207",23,0
"479","794203",18,0
"480","794201",11,0
"481","794191",15,0
"482","794179",12,1
"483","794173",9,0
"484","794161",15,0
"485","794153",17,1
"486","794149",17,3
"487","794141",12,1
"488","794137",9,1
"489","794119",8,0
"490","794113",16,2
"491","794111",35,6
"492","794089",16,0
"493","794077",15,3
"494","794071",18,0
"495","794063",26,2
"496","794041",18,0
"497","794039",19,1
"498","794033",18,2
"499","794023",21,1
"500","794011",20,1
"501","794009",13,3
"502","793999",62,7
"503","793981",12,0
"504","793979",22,2
"505","793967",11,2
"506","793957",18,0
"507","793939",40,6
"508","793931",11,1
"509","793927",11,0
"510","793901",16,0
"511","793889",26,1
"512","793867",21,2
"513","793853",12,1
"514","793843",12,2
"515","793841",19,3
"516","793813",11,0
"517","793789",21,5
"518","793787",13,0
"519","793777",27,2
"520","793769",19,2
"521","793757",22,1
"522","793739",30,4
"523","793733",17,1
"524","793721",18,0
"525","793717",15,2
"526","793711",15,2
"527","793699",22,1
"528","793691",25,3
"529","793673",23,1
"530","793669",30,3
"531","793633",29,2
"532","793627",10,0
"533","793621",12,0
"534","793607",15,0
"535","793601",16,1
"536","793591",18,2
"537","793561",11,1
"538","793553",29,4
"539","793547",21,2
"540","793537",21,3
"541","793519",15,4
"542","793517",20,1
"543","793511",27,2
"544","793493",17,2
"545","793489",23,1
"546","793487",18,0
"547","793453",21,0
"548","793447",21,1
"549","793439",18,1
"550","793399",39,8
"551","793379",28,3
"552","793343",23,2
"553","793337",29,2
"554","793333",69,11
"555","793327",19,0
"556","793301",20,0
"557","793297",20,1
"558","793279",11,0
"559","793253",9,0
"560","793229",14,0
"561","793207",25,0
"562","793189",13,0
"563","793187",19,2
"564","793181",18,1
"565","793159",14,1
"566","793139",25,3
"567","793129",15,1
"568","793123",17,0
"569","793103",23,1
"570","793099",28,0
"571","793069",29,2
"572","793043",20,0
"573","792991",22,0
"574","792989",14,0
"575","792983",23,1
"576","792973",14,1
"577","792959",25,1
"578","792941",17,1
"579","792929",48,8
"580","792919",16,0
"581","792907",22,1
"582","792893",8,0
"583","792881",15,1
"584","792871",12,0
"585","792821",13,2
"586","792797",46,7
"587","792793",19,3
"588","792769",31,4
"589","792751",22,1
"590","792731",24,1
"591","792713",18,0
"592","792709",27,3
"593","792703",21,2
"594","792697",18,2
"595","792691",30,3
"596","792689",18,0
"597","792679",16,1
"598","792667",24,3
"599","792647",17,1
"600","792643",19,2
"601","792641",18,0
"602","792637",13,1
"603","792629",20,0
"604","792613",9,1
"605","792601",16,1
"606","792593",35,4
"607","792581",17,1
"608","792563",20,2
"609","792559",21,2
"610","792553",27,4
"611","792551",21,1
"612","792529",23,4
"613","792521",20,3
"614","792487",18,1
"615","792481",19,2
"616","792479",21,0
"617","792461",17,2
"618","792443",16,0
"619","792413",13,0
"620","792397",34,2
"621","792383",21,1
"622","792377",24,1
"623","792371",24,1
"624","792359",19,0
"625","792317",19,0
"626","792307",22,0
"627","792301",13,0
"628","792299",41,5
"629","792293",13,2
"630","792283",22,2
"631","792277",31,2
"632","792263",16,0
"633","792257",18,1
"634","792247",15,2
"635","792241",27,0
"636","792229",37,6
"637","792227",34,5
"638","792223",37,4
"639","792179",24,1
"640","792163",27,2
"641","792151",19,2
"642","792131",11,1
"643","792119",11,1
"644","792109",18,2
"645","792107",16,0
"646","792101",23,1
"647","792073",21,2
"648","792067",20,1
"649","792061",18,2
"650","792049",26,1
"651","792041",15,0
"652","792037",14,0
"653","792031",13,1
"654","792023",15,0
"655","791993",13,1
"656","791971",74,9
"657","791969",40,6
"658","791951",18,2
"659","791933",21,2
"660","791929",21,2
"661","791927",17,0
"662","791909",21,2
"663","791899",33,5
"664","791897",14,0
"665","791891",38,3
"666","791887",25,0
"667","791851",14,1
"668","791849",17,0
"669","791827",16,1
"670","791803",21,1
"671","791801",19,0
"672","791797",36,4
"673","791789",24,3
"674","791783",18,0
"675","791773",28,2
"676","791699",13,1
"677","791677",19,1
"678","791663",27,1
"679","791657",16,0
"680","791629",20,1
"681","791627",23,1
"682","791599",27,3
"683","791573",31,1
"684","791569",31,3
"685","791563",23,1
"686","791561",16,1
"687","791543",22,3
"688","791519",14,1
"689","791489",15,0
"690","791473",15,2
"691","791447",19,0
"692","791443",17,3
"693","791431",18,0
"694","791419",27,0
"695","791411",18,0
"696","791387",18,1
"697","791377",21,2
"698","791363",18,1
"699","791347",19,0
"700","791321",15,0
"701","791317",24,1
"702","791311",13,1
"703","791309",15,0
"704","791291",18,1
"705","791261",21,3
"706","791257",17,2
"707","791251",14,3
"708","791233",27,3
"709","791227",16,1
"710","791209",20,2
"711","791201",19,3
"712","791191",28,4
"713","791159",22,2
"714","791137",19,1
"715","791117",33,5
"716","791111",80,15
"717","791099",18,1
"718","791093",15,1
"719","791081",18,1
"720","791053",19,0
"721","791047",18,1
"722","791029",18,3
"723","791017",17,0
"724","791009",20,1
"725","791003",29,0
"726","790997",45,3
"727","790991",23,1
"728","790969",48,5
"729","790967",14,2
"730","790961",17,2
"731","790957",21,4
"732","790927",31,2
"733","790897",15,1
"734","790883",26,2
"735","790879",17,2
"736","790871",15,2
"737","790861",15,1
"738","790843",18,0
"739","790831",21,0
"740","790819",25,0
"741","790817",19,0
"742","790793",17,0
"743","790781",26,3
"744","790753",22,0
"745","790747",34,6
"746","790739",16,2
"747","790733",18,1
"748","790709",40,6
"749","790703",18,1
"750","790697",19,1
